ANO	AGREGACAO	CODIGO	NOME	IDHM	IDHM_L	IDHM_E	IDHM_R
2021	UF	11	RONDÔNIA	0,700	0,731	0,694	0,677
2021	UF	12	ACRE	0,710	0,788	0,692	0,655
2021	UF	13	AMAZONAS	0,700	0,744	0,720	0,641
2021	UF	14	RORAIMA	0,699	0,745	0,673	0,680
2021	UF	15	PARÁ	0,690	0,744	0,686	0,645
2021	UF	16	AMAPÁ	0,688	0,778	0,647	0,648
2021	UF	17	TOCANTINS	0,731	0,779	0,732	0,684
2021	UF	21	MARANHÃO	0,676	0,715	0,716	0,603
2021	UF	22	PIAUÍ	0,690	0,726	0,698	0,649
2021	UF	23	CEARÁ	0,734	0,784	0,766	0,658
2021	UF	24	RIO GRANDE DO NORTE	0,728	0,819	0,680	0,692
2021	UF	25	PARAÍBA	0,698	0,779	0,669	0,653
2021	UF	26	PERNAMBUCO	0,719	0,797	0,721	0,647
2021	UF	27	ALAGOAS	0,684	0,748	0,679	0,630
2021	UF	28	SERGIPE	0,702	0,764	0,684	0,662
2021	UF	29	BAHIA	0,691	0,772	0,659	0,648
2021	UF	31	MINAS GERAIS	0,774	0,846	0,762	0,718
2021	UF	32	ESPÍRITO SANTO	0,771	0,864	0,742	0,715
2021	UF	33	RIO DE JANEIRO	0,762	0,769	0,758	0,759
2021	UF	35	SÃO PAULO	0,806	0,810	0,839	0,771
2021	UF	41	PARANÁ	0,769	0,785	0,780	0,744
2021	UF	42	SANTA CATARINA	0,792	0,827	0,790	0,759
2021	UF	43	RIO GRANDE DO SUL	0,771	0,797	0,750	0,767
2021	UF	50	MATO GROSSO DO SUL	0,742	0,751	0,741	0,733
2021	UF	51	MATO GROSSO	0,736	0,730	0,758	0,720
2021	UF	52	GOIÁS	0,737	0,721	0,778	0,714
2021	UF	53	DISTRITO FEDERAL	0,814	0,803	0,817	0,821